x_m,y_m,psi_rad,vx_mps,vy_mps,r_radps
3.2401524141482394,10.853346253513715,-2.5200444,2.8964196,0,0.9485276005828801
3.1933315466697967,10.941541817626295,-2.4869145,2.9559109,0,0.9925079764395399
3.143568637738547,11.02814404344775,-2.4530802,3.0080272,0,1.0304147574959999
3.090879057097294,11.11297625021793,-2.4183498,3.0538246,0,1.07722380158668
3.0352295155600286,11.195907846206264,-2.3826369,3.0927972,0,1.1218528025937602
2.976520991706703,11.276890587258995,-2.3458183,3.1255256,0,1.1671050147164799
2.9149734978200192,11.355450978312303,-2.3081005,3.1522648,0,1.20484036872016
2.8502789334035135,11.431827640790369,-2.2693719,3.1740488,0,1.2425109214138401
2.7828466186178797,11.505405095484733,-2.2300211,3.1911164,0,1.26820454456208
2.712401780984951,11.576391541735552,-2.1899178,3.204873,0,1.2928880725236
2.639224041176254,11.644416129303433,-2.1494541,3.2155685,0,1.3086193328065998
2.5632932015569616,11.709448940542295,-2.1085887,3.2242303,0,1.3185428551474299
2.4848128236539333,11.771288392033215,-2.0677021,3.2315272,0,1.3245134859765602
2.403792788677586,11.829918224573241,-2.026792,3.2379136,0,1.3179480476723202
2.3206202906016316,11.885093829931273,-1.9862949,3.2446801,0,1.31369569591168
2.235025966306443,11.937027747820744,-1.9461565,3.2515808,0,1.29135035744832
2.1476980115170856,11.985376478425051,-1.9068222,3.2604146,0,1.2704841269747
2.0583865778232333,12.030381975503948,-1.8685602,3.2709525,0,1.22783706564
1.9675548267401144,12.071957652795176,-1.8317898,3.2852919,0,1.1847386796861
1.8753394776328345,12.110213817847,-1.7965613,3.3033178,0,1.13942364903918
1.781689059155076,12.14533119174427,-1.7627595,3.3251002,0,1.10254969220678
1.68719032826896,12.177239299261537,-1.7303159,3.3496539,0,1.06873923347244
1.591406913997306,12.206212026306202,-1.6989207,3.3765741,0,1.04097888621504
1.4949757719801284,12.232165748404256,-1.6686703,3.4051815,0,1.01490447104865
1.3977847284685205,12.255244243057607,-1.6393473,3.4352604,0,0.9926418523507201
1.2998878773497555,12.275522367138752,-1.6108735,3.4663956,0,0.9741056931383999
1.2016545688168867,12.293010846079651,-1.5832141,3.4981986,0,0.95650439734122
1.102728599346343,12.307844827835504,-1.556164,3.5305731,0,0.9438182212183199
1.0035902525112972,12.320012203759022,-1.5297652,3.5630332,0,0.93217072227696
0.9041674303151207,12.32958465291885,-1.5038796,3.5954942,0,0.9227253394239601
0.8044472648626185,12.336609530011412,-1.4784389,3.6277586,0,0.91621691706778
0.7047060572588264,12.341110915513365,-1.4534175,3.6595625,0,0.9104182736687499
0.6047653487990653,12.343133277286414,-1.42869,3.6908701,0,0.90763995155449
0.5048539947549061,12.342699270013844,-1.4042544,3.7214168,0,0.90607307180504
0.40502923133504076,12.33983695552764,-1.3800409,3.751124,0,0.9055348376464
0.3052048548902286,12.334561486083656,-1.3559759,3.7799323,0,0.90759803258008
0.20560749359494102,12.326898179077801,-1.3320525,3.8076265,0,0.9101453390733
0.10619847031651632,12.316856116327571,-1.3081981,3.8342061,0,0.91419551173215
0.00704434831327132,12.30444677967263,-1.2843872,3.859568,0,0.9195644614944
-0.09175112013923814,12.289686143946849,-1.2605878,3.8836285,0,0.9254158542024
-0.19020653640168653,12.27257024438276,-1.2367493,3.9063879,0,0.93280558536342
