# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
21.4820863,1.8949578,-12.2288999,-1.2722114,0.2336399,3.9100291,0.9089261
21.582003,1.990097,-12.1983974,-1.2488668,0.2337978,3.9331872,0.8638198
21.6819196,2.0844821,-12.1656866,-1.2254922,0.2341801,3.9550704,0.8172656
21.7818363,2.1781111,-12.1307629,-1.2020533,0.2349522,3.9756633,0.7666126
21.881753,2.2708679,-12.0936616,-1.1785388,0.2358609,3.9948834,0.7159257
21.9816697,2.3627369,-12.0543795,-1.1549136,0.2370381,4.0127496,0.6630469
22.0815864,2.4536492,-12.012933,-1.131164,0.2384163,4.0292255,0.6090999
22.181503,2.5435403,-11.9693368,-1.1072691,0.2399389,4.0443017,0.555023
22.2814197,2.6323725,-11.9235918,-1.0832068,0.2416999,4.0579907,0.4992735
22.3813364,2.7200676,-11.8757185,-1.0589655,0.2435844,4.0702654,0.4438133
22.4812531,2.8065731,-11.8257244,-1.0345262,0.2456313,4.0811455,0.3880069
22.5811698,2.8918263,-11.773622,-1.0098755,0.2478257,4.0906339,-0.2135272
22.6810864,2.9757629,-11.7194249,-0.9849991,0.2500842,4.085415,-0.3287355
22.7810031,3.0583197,-11.6631475,-0.9599093,0.2521543,4.0773672,-0.3232392
22.8809198,3.1394326,-11.6048087,-0.9346307,0.2534648,4.0694385,-0.3230243
22.9808365,3.2190433,-11.5444339,-0.9092694,0.2542063,4.0614995,-0.3268274
23.0807532,3.2970938,-11.4820582,-0.8838463,0.2546842,4.0534513,-0.3355666
23.1806698,3.373533,-11.4177158,-0.8583701,0.2552755,4.0451712,-0.3429679
23.2805865,3.4483059,-11.351445,-0.8328295,0.2559901,4.0366909,-0.3488206
23.3805032,3.5213591,-11.2832839,-0.8072108,0.2568296,4.0280476,-0.3530649
23.4804199,3.5926403,-11.2132696,-0.7815009,0.2578161,4.0192802,-0.3552551
23.5803366,3.6620929,-11.1414439,-0.7556869,0.2589274,4.0104391,-0.3535027
23.6802533,3.7296649,-11.0678449,-0.7297534,0.260196,4.0016222,-0.3488322
23.7801699,3.7953011,-10.9925137,-0.7036856,0.2616211,3.9929027,-0.341211
23.8800866,3.8589446,-10.915494,-0.6774672,0.2632195,3.9843552,-0.3303867
23.9800033,3.9205418,-10.8368257,-0.6510799,0.2649983,3.9760614,-0.3157511
24.07992,3.9800336,-10.7565555,-0.6245045,0.2669847,3.9681187,-0.2968129
24.1798367,4.0373628,-10.6747273,-0.5977208,0.2691967,3.960638,-0.2735854
24.2797533,4.0924727,-10.5913832,-0.570703,0.2716197,3.9537301,-0.2439283
24.37967,4.1452963,-10.5065807,-0.5434294,0.2743686,3.9475609,-0.2086415
24.4795867,4.1957781,-10.4203577,-0.5158693,0.2773718,3.9422764,-0.1661195
