Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
0.25352912,-0.11429488,-0.50536394,-0.78998291,-1.38003278,99.59999847,-0.61051613,1.69254708,39.96300414,116.30366324,64.84361943,-0.02593999,-0.03081776,-0.41780958
0.26347915,-0.12902915,-0.52230060,-0.54318607,0.05199615,108.19999695,-0.61051613,1.69254708,39.96300410,116.30366319,64.84438147,-0.02508986,-0.02987976,-0.44693747
0.24330847,-0.14789476,-0.60125899,1.81485343,-2.08793402,109.90000153,-0.61051613,1.69254708,39.96300412,116.30366296,64.84529674,-0.02369894,-0.02871497,-0.48901791
0.23979073,-0.13349989,-0.63806933,-0.82874680,2.15284014,107.69999695,-0.61051613,1.69254708,39.96300413,116.30366285,64.84567879,-0.02260981,-0.02939138,-0.51182049
0.23286535,-0.17171992,-0.57352042,-0.42912868,-1.23284817,113.00000000,-0.61051613,1.69254708,39.96300413,116.30366262,64.84671923,-0.02492231,-0.02922347,-0.55726237
0.22841340,-0.21332782,-0.62432307,-0.13667257,-1.48808253,120.50000000,-0.61051613,1.68345618,39.96300410,116.30366238,64.84774385,-0.02199291,-0.02926905,-0.60314192
0.21524513,-0.22384830,-0.66299140,0.88276213,-0.38581270,119.50000000,-0.61051613,1.67436528,39.96300410,116.30366211,64.84902852,-0.01564033,-0.03069865,-0.64200093
0.20914631,-0.22368207,-0.75920379,-0.78503239,-2.28364873,120.50000000,-0.61051613,1.67436528,39.96300416,116.30366181,64.85010916,-0.01784015,-0.03230408,-0.68310015
0.20026631,-0.24210257,-0.75970012,-0.22365725,1.97780299,124.50000000,-0.61051613,1.67436528,39.96300418,116.30366162,64.85090184,-0.01715947,-0.03261071,-0.70802631
0.15814329,-0.27821904,-0.66282910,-4.92009306,-1.00889266,129.89999390,-0.61051613,1.67436528,39.96300422,116.30366125,64.85256639,-0.01956074,-0.03060560,-0.75751380
0.15469384,-0.28286817,-0.77989864,0.29686308,-2.49667192,131.50000000,-0.61051613,1.68345618,39.96300426,116.30366085,64.85373211,-0.02058462,-0.03496054,-0.80994946
0.14613618,-0.32692049,-0.80104059,-0.85078895,-2.76400042,136.50000000,-0.61051613,1.68345618,39.96300434,116.30366048,64.85532504,-0.02367908,-0.03740387,-0.85158403
