x_m,y_m,phi_rad,Ux_mps,Uy_mps,r_radps
-4.2884003,6.7469362,-1.0263111,3.8768163,0,1.0649059991369099
-4.2362526,6.6616853,-0.9989523999999999,3.8858988,0,1.060248058086
-4.1818171,6.577914,-0.9717763000000001,3.8951741,0,1.0564763856207
-4.1251097,6.4956172,-0.9447389999999998,3.9045494,0,1.0536348464912
-4.0662045,6.4148808,-0.9178397,3.9139302,0,1.0504068883203
-4.0051746,6.3357778,-0.8911051999999997,3.9133421,0,1.04263877971878
-3.942053,6.2583157,-0.8646504999999998,3.9022238,0,1.02653304083368
-3.8769035,6.1825239,-0.8385272000000001,3.8891681,0,1.00986994501582
-3.8098284,6.108469,-0.8127485999999999,3.8740532,0,0.99364002164988
-3.7408813,6.0361611,-0.7872626,3.8568547,0,0.9783251349763601
-3.6701031,5.965605,-0.7620165999999999,3.8375887,0,0.96544444727346
-3.5975891,5.8968653,-0.7369729,3.8164365,0,0.95395761247095
-3.5233768,5.8299541,-0.7120579,3.7934737,0,0.94374683599129
-3.4475263,5.7649121,-0.6872042999999999,3.7687525,0,0.9369834777975
-3.3700939,5.7017832,-0.6623511999999998,3.7425593,0,0.9327528147559799
-3.2910912,5.6405844,-0.6373973999999998,3.7150936,0,0.93043999098896
-3.2105861,5.5813865,-0.6122507000000001,3.6864857,0,0.93173271797796
-3.1286559,5.5242723,-0.5868432000000001,3.6570426,0,0.9373969300089
-3.045241,5.4692419,-0.5610353999999997,3.6272198,0,0.9454925136648201
-2.9603791,5.4163781,-0.5346989,3.5975278,0,0.95700499178372
-2.8742814,5.365873,-0.5077894999999999,3.5686325,0,0.975124548266
-2.7867463,5.3176853,-0.4801183,3.5408129,0,0.99583875671082
-2.6977689,5.2719159,-0.45151770000000013,3.5144619,0,1.0201358267892002
-2.6077847,5.2288858,-0.42198970000000013,3.4904714,0,1.05269196762028
-2.5163748,5.188508,-0.3913069,3.4691243,0,1.08721765810869
-2.4235798,5.1509503,-0.3592131999999999,3.4515514,0,1.1317778554207398
-2.3300517,5.1165727,-0.3270621,3.4342569,0,1.0846550937546
-2.2353237,5.0850924,-0.2968135999999999,3.4121435,0,0.95076205334045
